Name,HOMFLY (vector)
3_1,{0; 1; {1; 2; 2; -1}; {1; 1; 1}}
4_1,{0; 1; {-1; 1; 1; -1; 1}; {0; 0; -1}}
5_1,{0; 2; {2; 3; 3; -2}; {2; 3; 4; -1}; {2; 2; 1}}
5_2,{0; 1; {1; 3; 1; 1; -1}; {1; 2; 1; 1}}
6_1,{0; 1; {-1; 2; 1; 0; -1; 1}; {0; 1; -1; -1}}
6_2,{0; 2; {0; 2; 2; -2; 1}; {0; 2; 1; -3; 1}; {1; 1; -1}}
6_3,{0; 2; {-1; 1; -1; 3; -1}; {-1; 1; -1; 3; -1}; {0; 0; 1}}
7_1,{0; 3; {3; 4; 4; -3}; {3; 4; 10; -4}; {3; 4; 6; -1}; {3; 3; 1}}
7_2,{0; 1; {1; 4; 1; 0; 1; -1}; {1; 3; 1; 1; 1}}
7_3,{0; 2; {2; 4; 1; 2; -2}; {2; 4; 3; 3; -1}; {2; 3; 1; 1}}
7_4,{0; 1; {2; 4; 2; 0; -1}; {1; 3; 1; 2; 1}}
7_5,{0; 2; {2; 4; 2; 0; -1}; {2; 4; 3; 2; -1}; {2; 3; 1; 1}}
7_6,{0; 2; {0; 3; 1; -1; 2; -1}; {0; 2; 1; -2; 2}; {1; 1; -1}}
7_7,{0; 2; {-2; 0; 1; -2; 2}; {-1; 1; -2; 2; -1}; {0; 0; 1}}
8_1,{0; 1; {-1; 3; 1; 0; 0; -1; 1}; {0; 2; -1; -1; -1}}
8_2,{0; 3; {1; 3; 3; -3; 1}; {1; 3; 4; -7; 3}; {1; 3; 1; -5; 1}; {2; 2; -1}}
8_3,{0; 1; {-2; 2; 1; 0; -1; 0; 1}; {-1; 1; -1; -2; -1}}
8_4,{0; 2; {-2; 1; 1; 0; -2; 2}; {-2; 1; 1; -2; -3; 1}; {-1; 0; -1; -1}}
8_5,{0; 3; {1; 3; 4; -5; 2}; {1; 3; 4; -8; 3}; {1; 3; 1; -5; 1}; {2; 2; -1}}
8_6,{0; 2; {0; 3; 2; -1; -1; 1}; {0; 3; 1; -2; -2; 1}; {1; 2; -1; -1}}
8_7,{0; 3; {-2; 0; -2; 4; -1}; {-2; 0; -3; 8; -3}; {-2; 0; -1; 5; -1}; {-1; -1; 1}}
8_8,{0; 2; {-2; 1; -1; 1; 2; -1}; {-2; 1; -1; 2; 2; -1}; {-1; 0; 1; 1}}
8_9,{0; 3; {-1; 1; 2; -3; 2}; {-1; 1; 3; -8; 3}; {-1; 1; 1; -5; 1}; {0; 0; -1}}
8_10,{0; 3; {-2; 0; -3; 6; -2}; {-2; 0; -3; 9; -3}; {-2; 0; -1; 5; -1}; {-1; -1; 1}}
8_11,{0; 2; {0; 3; 1; 1; -2; 1}; {0; 3; 1; -1; -2; 1}; {1; 2; -1; -1}}
8_12,{0; 2; {-2; 2; 1; -1; 1; -1; 1}; {-1; 1; -2; 1; -2}; {0; 0; 1}}
8_13,{0; 2; {-2; -1; -1; 2}; {-2; 1; -1; 2; 1; -1}; {-1; 0; 1; 1}}
8_14,{0; 2; {0; 0; 1}; {0; 3; 1; -1; -1; 1}; {1; 2; -1; -1}}
8_15,{0; 2; {2; 5; 1; 3; -4; 1}; {2; 4; 2; 5; -3}; {2; 3; 1; 2}}
8_16,{0; 3; {-2; -1; -1; 2}; {-2; 0; -2; 5; -2}; {-2; 0; -1; 4; -1}; {-1; -1; 1}}
8_17,{0; 3; {-1; 1; 1; -1; 1}; {-1; 1; 2; -5; 2}; {-1; 1; 1; -4; 1}; {0; 0; -1}}
8_18,{0; 3; {-1; 1; -1; 3; -1}; {-1; 1; 1; -1; 1}; {-1; 1; 1; -3; 1}; {0; 0; -1}}
8_19,{0; 3; {3; 5; 5; -5; 1}; {3; 4; 10; -5}; {3; 4; 6; -1}; {3; 3; 1}}
8_20,{0; 2; {-2; 0; -2; 4; -1}; {-2; 0; -1; 4; -1}; {-1; -1; 1}}
8_21,{0; 2; {1; 3; 3; -3; 1}; {1; 3; 2; -3; 1}; {2; 2; -1}}
9_1,{0; 4; {4; 5; 5; -4}; {4; 5; 20; -10}; {4; 5; 21; -6}; {4; 5; 8; -1}; {4; 4; 1}}
9_2,{0; 1; {1; 5; 1; 0; 0; 1; -1}; {1; 4; 1; 1; 1; 1}}
9_3,{0; 3; {3; 5; 1; 3; -3}; {3; 5; 6; 7; -4}; {3; 5; 5; 5; -1}; {3; 4; 1; 1}}
9_4,{0; 2; {2; 5; 1; 0; 2; -2}; {2; 5; 3; 2; 3; -1}; {2; 4; 1; 1; 1}}
9_5,{0; 1; {2; 5; 1; 1; 0; -1}; {1; 4; 1; 2; 2; 1}}
9_6,{0; 3; {3; 5; 3; -1; -1}; {3; 5; 7; 3; -3}; {3; 5; 5; 4; -1}; {3; 4; 1; 1}}
9_7,{0; 2; {2; 5; 2; -1; 1; -1}; {2; 5; 3; 1; 2; -1}; {2; 4; 1; 1; 1}}
9_8,{0; 2; {-1; 3; 1; -1; 0; 2; -1}; {-1; 2; 1; -2; -1; 2}; {0; 1; -1; -1}}
9_9,{0; 3; {3; 5; 2; 1; -2}; {3; 5; 7; 4; -3}; {3; 5; 5; 4; -1}; {3; 4; 1; 1}}
9_10,{0; 2; {3; 5; 2; 1; -2}; {2; 5; 2; 5; 2; -1}; {2; 4; 1; 2; 1}}
9_11,{0; 3; {-4; -1; -2; 3; -1; 1}; {-4; -1; -1; 6; -4; 3}; {-3; -1; 2; -4; 1}; {-2; -2; -1}}
9_12,{0; 2; {0; 4; 1; 0; -1; 2; -1}; {0; 3; 1; -1; -1; 2}; {1; 2; -1; -1}}
9_13,{0; 2; {3; 5; 3; -1; -1}; {2; 5; 2; 5; 1; -1}; {2; 4; 1; 2; 1}}
9_14,{0; 2; {-3; 0; 1; -2; 1; 1}; {-2; 1; -2; 1; 1; -1}; {-1; 0; 1; 1}}
9_15,{0; 2; {-4; 0; -1; 1; 1; -1; 1}; {-3; 0; 2; 0; -1; 1}; {-2; -1; -1; -1}}
